EMPLOYEE_KEY,EMP_CODE,EMP_FIRSTNAME,EMP_LASTNAME,EMP_SALARY,SALARY_CURRENCY,EMP_GENDER_CODE,EMP_COUNTRYOFBIRTH_CODE,EMP_BIRTH_DATE,EMP_SENIORITY_DATE
EMP_531,531,sadi,sadika,,,2,   ,1986-01-01,2014-01-01
EMP_534,534,jeannot,veyssiere,,,1,   ,1984-11-19,2013-10-03
EMP_9621,9621,thierry,adrian,,,1,FRA,1977-10-09,2015-01-01
EMP_226,226,roberto,bossisio,,,,,,
EMP_508,508,test,test,,,,,,
EMP_513,513,pierre,dupont,200000.0,EUR,1,   ,1970-01-01,2015-01-01
EMP_11561,11561,max,albert,,,1,FRA,1980-12-12,2014-01-01
EMP_15181,15181,samuel,alain,,,1,FRA,1980-12-12,2016-01-05
EMP_21701,21701,alex,alain,3000000.0,   ,1,FRA,1980-12-12,2016-02-01
EMP_30722,30722,tom,alain,,,1,FRA,1980-12-12,2015-04-01
EMP_31261,31261,albert,tom,,,1,FRA,1980-12-12,2016-01-01
EMP_123642,123642,ifc7,mokhles,,,1,FRA,1990-01-01,2019-01-01
EMP_123822,123822,atrasos,para,150000.0,EUR,2,ESP,1970-01-15,2021-01-01
EMP_1177,1177,mohamed,benabid,,,1,FRA,1982-11-19,2004-09-01
EMP_1180,1180,ahmed,belateche,,,1,FRA,1970-04-18,1996-03-01
EMP_16261,16261,rr,fr,350000.0,EUR,1,   ,1990-01-01,2014-01-01
EMP_16301,16301,asfd,asdf,,,1,ESP,1980-01-01,2015-02-01
EMP_10461,10461,rr,rr,,,1,ESP,1980-01-01,2015-02-01
EMP_10861,10861,rr,rr,,,1,ESP,1980-01-01,2015-02-01
EMP_11481,11481,garenti 2,ouvrier,100000.0,EUR,1,BEL,1975-08-05,
EMP_3395,3395,tim,haber,,,,,,2015-01-01
EMP_583,583,ffffffff,fffffffff,,,1,   ,1980-01-01,2013-01-01
EMP_662,662,rené,dupont,20000000.0,EUR,1,   ,1949-05-16,2012-10-01
EMP_592,592,eric,veysdemo1,4500000.0,EUR,1,FRA,1983-01-23,2014-01-01
EMP_591,591,paul,veysmasqf,2300000.0,   ,1,FRA,1983-01-15,2014-04-01
EMP_591,591,paul,veysmasqf,2000046.0,EUR,1,FRA,1983-01-15,2014-04-01
EMP_545,545,nn,nn,,,1,   ,1980-01-01,2014-01-01
EMP_547,547,paul b,veyssiere b,3033300.0,EUR,1,FRA,1993-01-12,2013-12-09
EMP_550,550,dddddddddddd,dddddddddddd,2000000.0,EUR,1,   ,1980-01-01,2014-01-01
EMP_552,552,paul e2,veyssiere e2,,,1,FRA,1983-01-15,2014-01-01
EMP_553,553,eeeee,eeeee,,,1,   ,1980-01-01,2014-01-01
EMP_555,555,vvv,vvv,,,1,   ,1980-01-01,2014-01-01
EMP_619,619,muller,jack,2400000.0,EUR,1,FRA,1969-10-12,2014-01-01
EMP_118404,118404,fabrice,etienne,650000.0,   ,1,CHE,1970-03-15,2019-01-01
EMP_118422,118422,uno,fdi,100000.0,EUR,1,ESP,1970-01-01,2020-01-01
EMP_1121,1121,richard,blake,,,1,GBR,1973-02-15,2005-03-13
EMP_745,745,michel,dupont,300000.0,EUR,1,FRA,1980-01-01,2014-07-01
EMP_642,642,rené,dupont,20000000.0,EUR,1,FRA,1949-05-16,2012-10-01
EMP_566,566,paula,veysmoda,1345600.0,EUR,1,FRA,1983-01-01,2014-04-01
EMP_568,568,ggggggggggg,gggggg,5000000.0,EUR,1,   ,1983-01-08,2013-01-01
EMP_754,754,alain,dupont,,,1,FRA,1968-10-01,2014-01-01
EMP_755,755,alain,dupont,,,1,FRA,1968-10-01,2014-01-01
EMP_756,756,patric,dupont,300000.0,EUR,1,FRA,1968-10-01,2014-01-01
EMP_698,698,rené,dupont,20000000.0,EUR,1,   ,1949-05-16,2012-10-01
EMP_782,782,dupont,dupont,30000000.0,EUR,1,FRA,1983-01-01,2015-03-30
EMP_786,786,dupont,dupont,300000.0,EUR,1,FRA,1983-01-01,2015-03-30
EMP_787,787,dupont,dupont,300000.0,EUR,1,FRA,1983-01-01,2015-03-30
EMP_717,717,alex,rémy,210000.0,EUR,1,FRA,1980-12-12,2014-01-01
EMP_726,726,test,test,500000.0,EUR,1,FRA,1983-01-01,2014-01-01
EMP_728,728,test,test,200000.0,EUR,1,FRA,1983-01-01,2014-01-01
EMP_663,663,isabelle,dupont,200000.0,EUR,2,   ,1970-01-01,2012-10-01
EMP_846,846,eric,dupont,300000.0,EUR,1,FRA,1968-10-01,2015-01-01
EMP_849,849,eric,dupont,,,1,FRA,1968-10-01,2015-01-01
EMP_851,851,eric,dupont,3000000.0,EUR,1,FRA,1980-01-01,2014-01-01
EMP_861,861,eric,dupont,300000.0,EUR,1,FRA,1980-01-01,2016-01-01
EMP_901,901,alex,dupont,,,1,FRA,1968-10-01,2014-01-01
EMP_776,776,alinej,dupont,,,1,FRA,1968-10-01,2014-01-01
